"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"1" "KhPolQ_K8n_1" 8 0 0 0 3.60555127546399
"2" "KhPolQ_K8n_1!" 8 0 0 0 3.60555127546399
"3" "KhPolQ_K8n_2" 8 0 -2 -2 5.91607978309962
"4" "KhPolQ_K8n_2!" 8 0 2 2 5.91607978309962
"5" "KhPolQ_K8n_3" 8 0 -6 6 1.73205080756888
"6" "KhPolQ_K8n_3!" 8 0 6 -6 1.73205080756888
"7" "KhPolQ_K9n_1" 9 0 0 0 6.40312423743285
"8" "KhPolQ_K9n_1!" 9 0 0 0 6.40312423743285
"9" "KhPolQ_K9n_2" 9 0 2 -2 8.66025403784439
"10" "KhPolQ_K9n_2!" 9 0 -2 2 8.66025403784439
"11" "KhPolQ_K9n_3" 9 0 -4 4 4.79583152331272
"12" "KhPolQ_K9n_3!" 9 0 4 -4 4.79583152331272
"13" "KhPolQ_K9n_4" 9 0 2 0 2.64575131106459
"14" "KhPolQ_K9n_4!" 9 0 -2 0 2.64575131106459
"15" "KhPolQ_K9n_5" 9 0 0 0 3.60555127546399
"16" "KhPolQ_K9n_5!" 9 0 0 0 3.60555127546399
"17" "KhPolQ_K9n_6" 9 0 2 2 10.3440804327886
"18" "KhPolQ_K9n_6!" 9 0 -2 -2 10.3440804327886
"19" "KhPolQ_K9n_7" 9 0 -2 2 10.2469507659596
"20" "KhPolQ_K9n_7!" 9 0 2 -2 10.2469507659596
"21" "KhPolQ_K9n_8" 9 0 -4 4 9.53939201416946
"22" "KhPolQ_K9n_8!" 9 0 4 -4 9.53939201416946
"23" "KhPolQ_K10n_1" 10 0 -2 2 12.7671453348037
"24" "KhPolQ_K10n_1!" 10 0 2 -2 12.7671453348037
"25" "KhPolQ_K10n_2" 10 0 0 0 9.1104335791443
"26" "KhPolQ_K10n_2!" 10 0 0 0 9.1104335791443
"27" "KhPolQ_K10n_3" 10 0 2 0 5.56776436283002
"28" "KhPolQ_K10n_3!" 10 0 -2 0 5.56776436283002
