"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value"
"1" "KhPolQ_K8n_1" 8 0 0 0
"2" "KhPolQ_K8n_1!" 8 0 0 0
"3" "KhPolQ_K8n_2" 8 0 -2 -2
"4" "KhPolQ_K8n_2!" 8 0 2 2
"5" "KhPolQ_K8n_3" 8 0 -6 6
"6" "KhPolQ_K8n_3!" 8 0 6 -6
"7" "KhPolQ_K9n_1" 9 0 0 0
"8" "KhPolQ_K9n_1!" 9 0 0 0
"9" "KhPolQ_K9n_2" 9 0 2 -2
"10" "KhPolQ_K9n_2!" 9 0 -2 2
"11" "KhPolQ_K9n_3" 9 0 -4 4
"12" "KhPolQ_K9n_3!" 9 0 4 -4
"13" "KhPolQ_K9n_4" 9 0 2 0
"14" "KhPolQ_K9n_4!" 9 0 -2 0
"15" "KhPolQ_K9n_5" 9 0 0 0
"16" "KhPolQ_K9n_5!" 9 0 0 0
"17" "KhPolQ_K9n_6" 9 0 2 2
"18" "KhPolQ_K9n_6!" 9 0 -2 -2
"19" "KhPolQ_K9n_7" 9 0 -2 2
"20" "KhPolQ_K9n_7!" 9 0 2 -2
"21" "KhPolQ_K9n_8" 9 0 -4 4
"22" "KhPolQ_K9n_8!" 9 0 4 -4
"23" "KhPolQ_K10n_1" 10 0 -2 2
"24" "KhPolQ_K10n_1!" 10 0 2 -2
"25" "KhPolQ_K10n_2" 10 0 0 0
"26" "KhPolQ_K10n_2!" 10 0 0 0
"27" "KhPolQ_K10n_3" 10 0 2 0
"28" "KhPolQ_K10n_3!" 10 0 -2 0
"29" "KhPolQ_K10n_4" 10 0 -2 -2
"30" "KhPolQ_K10n_4!" 10 0 2 2
"31" "KhPolQ_K10n_5" 10 0 0 0
"32" "KhPolQ_K10n_5!" 10 0 0 0
"33" "KhPolQ_K10n_6" 10 0 -6 6
"34" "KhPolQ_K10n_6!" 10 0 6 -6
"35" "KhPolQ_K10n_7" 10 0 -4 6
"36" "KhPolQ_K10n_7!" 10 0 4 -6
"37" "KhPolQ_K10n_8" 10 0 2 2
"38" "KhPolQ_K10n_8!" 10 0 -2 -2
"39" "KhPolQ_K10n_9" 10 0 -4 4
"40" "KhPolQ_K10n_9!" 10 0 4 -4
"41" "KhPolQ_K10n_10" 10 0 0 0
"42" "KhPolQ_K10n_10!" 10 0 0 0
"43" "KhPolQ_K10n_11" 10 0 -4 -4
"44" "KhPolQ_K10n_11!" 10 0 4 4
"45" "KhPolQ_K10n_12" 10 0 2 -2
"46" "KhPolQ_K10n_12!" 10 0 -2 2
"47" "KhPolQ_K10n_13" 10 0 0 -2
"48" "KhPolQ_K10n_13!" 10 0 0 2
"49" "KhPolQ_K10n_14" 10 0 2 -4
"50" "KhPolQ_K10n_14!" 10 0 -2 4
"51" "KhPolQ_K10n_15" 10 0 2 2
"52" "KhPolQ_K10n_15!" 10 0 -2 -2
"53" "KhPolQ_K10n_16" 10 0 -4 -4
"54" "KhPolQ_K10n_16!" 10 0 4 4
"55" "KhPolQ_K10n_17" 10 0 2 -2
"56" "KhPolQ_K10n_17!" 10 0 -2 2
"57" "KhPolQ_K10n_18" 10 0 0 0
"58" "KhPolQ_K10n_18!" 10 0 0 0
"59" "KhPolQ_K10n_19" 10 0 -2 -2
"60" "KhPolQ_K10n_19!" 10 0 2 2
"61" "KhPolQ_K10n_20" 10 0 0 0
"62" "KhPolQ_K10n_20!" 10 0 0 0
"63" "KhPolQ_K10n_21" 10 0 -8 8
"64" "KhPolQ_K10n_21!" 10 0 8 -8
"65" "KhPolQ_K10n_22" 10 0 -6 6
"66" "KhPolQ_K10n_22!" 10 0 6 -6
"67" "KhPolQ_K10n_23" 10 0 0 0
"68" "KhPolQ_K10n_23!" 10 0 0 0
"69" "KhPolQ_K10n_24" 10 0 -2 2
"70" "KhPolQ_K10n_24!" 10 0 2 -2
"71" "KhPolQ_K10n_25" 10 0 0 0
"72" "KhPolQ_K10n_25!" 10 0 0 0
"73" "KhPolQ_K10n_26" 10 0 2 -2
"74" "KhPolQ_K10n_26!" 10 0 -2 2
"75" "KhPolQ_K10n_27" 10 0 -6 8
"76" "KhPolQ_K10n_27!" 10 0 6 -8
"77" "KhPolQ_K10n_28" 10 0 -2 -2
"78" "KhPolQ_K10n_28!" 10 0 2 2
"79" "KhPolQ_K10n_29" 10 0 0 0
"80" "KhPolQ_K10n_29!" 10 0 0 0
"81" "KhPolQ_K10n_30" 10 0 -6 6
"82" "KhPolQ_K10n_30!" 10 0 6 -6
"83" "KhPolQ_K10n_31" 10 0 -4 -6
"84" "KhPolQ_K10n_31!" 10 0 4 6
"85" "KhPolQ_K10n_32" 10 0 2 -2
"86" "KhPolQ_K10n_32!" 10 0 -2 2
"87" "KhPolQ_K10n_33" 10 0 -4 4
"88" "KhPolQ_K10n_33!" 10 0 4 -4
"89" "KhPolQ_K10n_34" 10 0 -2 -2
"90" "KhPolQ_K10n_34!" 10 0 2 2
"91" "KhPolQ_K10n_35" 10 0 -2 2
"92" "KhPolQ_K10n_35!" 10 0 2 -2
"93" "KhPolQ_K10n_36" 10 0 -6 -8
"94" "KhPolQ_K10n_36!" 10 0 6 8
